CPF,NOME,DATA DE NASCIMENTO,RUA,BAIRRO,CIDADE,ESTADO,TELEFONE,EMAIL,PESQUISA,CANAL DE ATEDIMENTO,MÊS,CARGO,ATENDENTE,RENDA
578.602.139-40,Bruna Souza,1992-02-07,"Alameda Ribeiro, 331",Atila De Paiva,Moura de Pires,Rio de Janeiro,+55 (073) 93496 2185,lunnamoraes@example.com,Péssimo,Email,1,Profissional de manutenção industrial,2,1900
739.481.065-84,Carolina Freitas,1973-04-02,"Viela de Oliveira, 4",Nossa Senhora Da Aparecida,Câmara da Serra,Mato Grosso,+55 (082) 92137 9619,vsilva@example.org,Péssimo,Email,8,Filósofo,7,5682
405.879.126-85,Emanuel Barros,1974-10-19,"Jardim de das Neves, 7",Vila São Gabriel Jacui,Campos,Espírito Santo,+55 57 9 8078 7668,barbaravieira@example.com,Ruim,Email,7,Saxofonista,2,6811
045.871.329-50,Dr. Renan Borges,1962-01-08,"Fazenda Lorenzo Fonseca, 98",Vila Maria,Novaes,Paraná,+55 64 9 1183 8478,gomesmaria-alice@example.net,Bom,Call,6,Administrador,5,3948
306.279.485-29,Henry Gabriel Dias,1986-07-19,"Vale Stephany da Conceição, 41",Serrano,Ribeiro Verde,Acre,+55 (092) 97418-9176,natalia96@example.net,Bom,Email,12,Bombeiro,10,4046
062.491.785-11,Gael Henrique Camargo,2006-03-13,"Rua Melo, 38",Alto Vera Cruz,Nunes do Galho,Piauí,+55 (38) 99676 9094,rlima@example.com,Ruim,Chat,10,Redator,9,4804
489.206.317-78,Pedro Mendes,1959-07-06,"Ladeira Sabrina Albuquerque, 570",Barro Preto,Brito,Tocantins,+55 (01) 95929 7623,josueda-mota@example.com,Ruim,Chat,4,Desembargador de justiça,1,6296
246.381.507-80,Anthony Gabriel Moura,1967-12-31,"Estrada Souza, 94",Conjunto Califórnia I,Mendes,Bahia,+55 (058) 90740 3695,livia69@example.com,Bom,Call,2,Prático,7,8722
379.806.241-22,Bernardo Viana,1946-08-08,"Pátio de Monteiro, 65",Minaslandia,Rezende de Rios,São Paulo,+55 (68) 91547-7212,monteirojoao-guilherme@example.org,Ótimo,Email,1,Corredor de atletismo,9,8027
642.180.579-58,Lucas Gabriel Aparecida,1976-07-30,"Praia Casa Grande, 1",Vila Independencia 3ª Seção,Marques,Paraíba,+55 (20) 9 1558-9187,maria-lizmonteiro@example.net,Ótimo,Email,3,Anestesiologista,6,9296
762.348.910-04,Srta. Maria Barros,1992-07-04,Rodovia Nascimento,Guaratã,Gonçalves,Mato Grosso,+55 18 9 5666-9766,vicente35@example.net,Ruim,Chat,7,Técnico em documentação,8,6328
257.430.198-60,Laura Garcia,1994-11-15,"Praia Valentim da Costa, 574",Serra,Jesus,Rio Grande do Sul,+55 51 9 7789 3289,limamaria-laura@example.org,Ruim,Email,12,Agente de defesa sanitária animal,2,1748
974.865.210-67,Ana Luiza Sales,1976-01-21,"Fazenda de Barros, 10",Betânia,Aragão das Flores,Goiás,+55 (094) 96859 5094,miguelpinto@example.com,Péssimo,Call,5,Administrador,4,4825
029.573.614-34,Catarina Rezende,1946-02-14,"Conjunto de Ribeiro, 175",Solar Do Barreiro,Cavalcanti,Mato Grosso,+55 81 95887 1721,vda-conceicao@example.org,Regular,Call,5,Programador,6,2949
428.791.360-40,Hellena Rocha,1984-04-25,"Estação Thales Vargas, 8",Satelite,Cavalcanti de Viana,Alagoas,+55 (60) 9 4688-4099,bmacedo@example.com,Péssimo,Email,4,DJ,10,6911
307.845.126-71,Calebe Teixeira,1996-10-03,"Viela Ferreira, 5",Alto Dos Pinheiros,Pinto Alegre,Rio Grande do Norte,+55 46 91129 0560,gaelda-luz@example.com,Bom,Call,1,Ajudante de produção,10,4874
869.034.572-83,Dr. Lorenzo Cavalcanti,1971-11-11,"Vereda Casa Grande, 867",Vila Calafate,Cavalcante do Amparo,Rio Grande do Sul,+55 18 9 9571-3488,zleao@example.com,Bom,Email,6,Lutador de taekwondo,2,4746
507.286.439-10,Maria Eduarda da Costa,1988-05-24,"Avenida de Macedo, 8",Vila Puc,Souza da Prata,Piauí,+55 59 9 4006 3545,cda-cruz@example.net,Bom,Call,6,Classificador contábil,5,2363
687.290.514-01,Stella da Paz,1992-06-19,"Alameda Castro, 870",Barreiro,Leão,Pernambuco,+55 (21) 96792 7743,araujomaria-fernanda@example.com,Bom,Email,2,Marcador de luz,10,9935
935.160.847-66,Maria Eduarda Castro,1969-07-25,"Estação Pastor, 84",Pongelupe,Siqueira,Pernambuco,+55 (034) 96827-7083,msilva@example.net,Péssimo,Email,2,Laboratorista,10,3115
256.049.713-16,Júlia Porto,1955-10-12,"Loteamento de Alves, 58",Nova Esperança,Fonseca de Castro,Acre,+55 (72) 99572-9143,rvasconcelos@example.net,Ruim,Email,8,Amolador de ferramentas,10,2239
248.971.356-64,Sophie Garcia,1997-04-24,"Feira de Fonseca, 37",São Salvador,Lopes de Goiás,Piauí,+55 (068) 93059-9830,nascimentomaria-julia@example.com,Bom,Email,8,DJ,4,5008
092.385.476-29,Eduardo Fonseca,1945-05-17,"Viaduto Fonseca, 32",Guaratã,Monteiro,Pará,+55 (043) 94512-0612,heloisadas-neves@example.net,Bom,Chat,6,Técnico em aviação,9,7108
820.967.154-58,Pedro Miguel Camargo,1995-01-07,"Residencial Samuel Santos, 38",Olaria,Cassiano Paulista,São Paulo,+55 (048) 99663-6438,alexandremoreira@example.com,Ruim,Call,8,Frentista,10,8148
082.314.679-04,João Gabriel Pacheco,1947-06-28,"Morro Léo Araújo, 88",Marilandia,Camargo Verde,Mato Grosso do Sul,+55 (85) 90308 2879,fernandocosta@example.net,Ótimo,Chat,1,Editor de mesa de corte,7,6241
269.150.487-58,Heitor Mendes,1946-03-24,"Praça Teixeira, 862",Jardim Do Vale,Nascimento,Bahia,+55 (058) 99112 2753,da-matabella@example.net,Ruim,Email,8,Profissional de comércio exterior,8,6460
609.845.271-76,Dra. Pietra Araújo,1983-10-20,"Setor de Fogaça, 46",Centro,Pimenta,Roraima,+55 (077) 99838-5790,enricoleao@example.org,Regular,Call,2,Salgadeira,9,6388
948.627.531-91,João Miguel Vieira,1991-01-30,"Sítio Agatha Cardoso, 50",Vila Nova,da Costa de Nogueira,Distrito Federal,+55 (91) 94330 6939,jda-costa@example.com,Péssimo,Email,9,Webdesigner,4,2321
397.412.560-43,Zoe Farias,1949-03-04,"Aeroporto de Alves, 42",Canadá,Cavalcanti Alegre,Distrito Federal,+55 (071) 90151 4153,riosstephany@example.com,Ótimo,Chat,9,Letrista,8,9204
502.837.196-21,Julia Nascimento,1999-10-20,"Feira Thiago Carvalho, 16",Juliana,Rios,Paraíba,+55 (46) 90441-7114,britomaria-eduarda@example.com,Péssimo,Email,3,Instrumentador cirúrgico,2,9280
619.073.245-34,Julia Dias,2005-02-19,Área Ramos,Madri,Vieira de Carvalho,Rio de Janeiro,+55 (04) 95287-8255,leaolorena@example.net,Regular,Email,5,Vereador,5,7117
428.507.913-50,Davi Marques,1969-08-13,"Vale Nunes, 62",Cruzeiro,Pereira de Goiás,Ceará,+55 95 94568 0575,helenacavalcante@example.org,Bom,Chat,7,Pneumologista,4,1539
472.618.950-67,Melina Machado,1988-02-04,Sítio de da Rocha,Marieta 3ª Seção,Pastor,Acre,+55 89 97719 3997,monteiroarthur-gabriel@example.net,Péssimo,Chat,4,Procurador de justiça,8,7585
641.537.028-62,Dra. Maria Clara Novaes,1957-02-03,"Esplanada de Rezende, 4",Dom Bosco,Rodrigues Verde,Sergipe,+55 (44) 91012 5790,carolina15@example.org,Ótimo,Email,4,Garimpeiro,4,3845
346.017.895-75,Ágatha Costela,1992-03-14,"Lago Augusto Cardoso, 1",Conjunto Floramar,Fogaça do Norte,Tocantins,+55 (18) 9 7067 3436,dfernandes@example.net,Regular,Email,2,Auxiliar de serviços gerais,4,3596
497.180.625-30,Rael Oliveira,1968-09-10,"Vila Júlia Nogueira, 9",Marieta 1ª Seção,Sales,Paraná,+55 69 9 1848 5774,hellenamarques@example.com,Ótimo,Chat,9,Tatuador,5,5360
078.542.139-41,Otto Machado,2002-06-30,Lagoa João Miguel Montenegro,Nossa Senhora De Fátima,Nascimento,Maranhão,+55 02 97459-2490,otavioribeiro@example.net,Bom,Call,1,Tapeceiro,9,7256
042.178.539-04,Dr. João da Conceição,1986-09-10,"Praia Emanuelly Novaes, 30",Flavio Marques Lisboa,Ramos do Norte,Amapá,+55 (13) 9 5222-9162,manuela49@example.org,Regular,Email,11,Inspetor,10,2124
069.721.538-59,Vitória Araújo,1958-10-25,"Vereda Aparecida, 7",Varzea Da Palma,Fogaça do Galho,Amazonas,+55 (021) 98604 7382,tcorreia@example.org,Péssimo,Email,7,Assessor de imprensa,6,6945
136.527.809-30,Mariane Camargo,2000-04-02,"Quadra de Moura, 27",Caiçara - Adelaide,Sampaio,Paraíba,+55 (58) 94759 0486,lorenzorezende@example.net,Bom,Email,5,Desembargador de justiça,3,6453
439.102.758-50,Manuella Viana,1997-01-07,"Vale Bruna Barros, 636",Alto Das Antenas,Vargas,Minas Gerais,+55 (90) 9 8765-2747,allana77@example.net,Regular,Call,10,Promotor de eventos,2,2203
073.524.689-00,Sabrina Câmara,1964-09-28,"Ladeira Giovanna Andrade, 25",Planalto,Pereira das Flores,Distrito Federal,+55 56 96689 8647,mendoncagael@example.org,Bom,Email,8,Perito criminal,4,1751
764.913.820-87,Davi Lucas Siqueira,1986-08-09,"Campo Viana, 93",Nova Cintra,Barros do Norte,Rio Grande do Norte,+55 (18) 9 6047-3092,guilherme11@example.net,Bom,Email,10,Cozinheira,6,6075
653.107.829-40,Davi Lucca Correia,1989-10-14,Rodovia de Teixeira,Barão Homem De Melo 2ª Seção,da Mota de Goiás,Mato Grosso,+55 59 94261-3421,mendeshellena@example.com,Ótimo,Chat,11,Professor,10,4339
193.045.762-61,Evelyn Correia,1968-12-19,"Lago de Casa Grande, 96",Vale Do Jatoba,Borges de Ribeiro,Maranhão,+55 (36) 9 8693 4290,aragaojoao-felipe@example.net,Ótimo,Email,8,Saxofonista,10,1860
398.654.172-19,Sr. Bernardo Nascimento,1983-06-30,"Estação Mariah Rios, 10",Nossa Senhora De Fátima,Moreira,Amazonas,+55 69 9 0034-0495,castrojoao-lucas@example.net,Bom,Email,10,Manicure,1,4917
948.215.073-23,Emanuelly Rodrigues,2004-09-06,"Viela da Mota, 85",São Jorge 1ª Seção,Pimenta,Rio Grande do Norte,+55 (21) 9 1465 5846,ryan31@example.com,Ruim,Email,9,Guarda roupeiro,2,6983
965.304.821-05,Ana Júlia Lopes,1984-05-17,"Pátio Eloah Sá, 5",Vila Da Luz,Martins,Sergipe,+55 91 95919-0652,dsilveira@example.com,Bom,Chat,7,Bioquímico,5,4018
251.687.430-80,Yago Macedo,1970-04-04,"Favela de Farias, 83",Vila Pilar,Rodrigues,Goiás,+55 97 9 5426 1694,aporto@example.com,Ótimo,Chat,6,Faturista,8,4086
694.832.107-04,Clara Nogueira,1950-05-23,"Praia Benício Rios, 44",Vila Maria,Andrade do Norte,Piauí,+55 (86) 9 5140-3202,fsouza@example.org,Ruim,Chat,3,Mecânico de vôo,5,8547
041.659.238-42,Caio da Mata,1977-06-23,"Setor de Casa Grande, 49",Cabana Do Pai Tomás,Azevedo,Mato Grosso do Sul,+55 (06) 9 7156-1014,emilly49@example.net,Regular,Email,12,Dublador,4,2877
439.782.160-78,Bella Fernandes,1944-08-06,"Vereda Théo Silva, 3",Minas Caixa,Leão de Dias,Paraná,+55 (027) 91256-4700,macedorenan@example.org,Péssimo,Chat,12,Profissional de comércio exterior,7,7419
937.685.214-19,João Vitor Cirino,2001-09-15,"Via da Paz, 2",Vila São João Batista,Teixeira de Câmara,Goiás,+55 (063) 90564 3198,santosbenjamim@example.org,Péssimo,Email,9,Faxineiro,3,4740
376.021.458-44,Davi Miguel Andrade,1978-09-24,"Esplanada Antonella Farias, 4",Monte São José,da Conceição do Norte,Piauí,+55 19 94968 1442,leo96@example.com,Regular,Email,10,Marcador de luz,3,8020
732.086.594-74,Ayla Mendes,1960-09-12,"Setor Abreu, 88",Acaba Mundo,Barbosa do Campo,Bahia,+55 92 9 9086 5994,ana-ceciliaborges@example.org,Ótimo,Email,6,Avalista,9,7301
294.650.387-92,Valentim Viana,2001-01-13,"Núcleo Mirella Marques, 25",São Luiz,Fogaça dos Dourados,Goiás,+55 88 9 3944 8277,stephany50@example.net,Bom,Chat,7,Engenheiro mecânico,8,4804
065.328.417-90,Bella Melo,1994-06-25,"Travessa Alves, 18",Saudade,Ribeiro de Minas,Paraná,+55 (046) 92897 9818,luancavalcante@example.net,Péssimo,Call,8,Personal trainer,4,2197
074.281.963-96,Maria Luiza Moura,1956-03-04,Vale de Silveira,Grotinha,Peixoto da Mata,Santa Catarina,+55 (71) 9 3770-4077,zda-mota@example.org,Ruim,Call,7,Tecnólogo em jogos digitais,8,5412
675.841.029-30,Sr. Theo Teixeira,1955-11-29,"Área Fernandes, 56",Glória,Silva,Santa Catarina,+55 (89) 95225 3468,vasconceloslivia@example.net,Péssimo,Email,9,Ventríloquo,1,2986
083.914.752-04,Murilo Albuquerque,1976-02-16,"Estação da Cunha, 9",Planalto,da Rosa,Sergipe,+55 83 96156 6356,luigi17@example.org,Ruim,Email,3,Feirante,7,7233
705.284.936-47,Pedro Miguel Cunha,1977-04-29,Lagoa Marques,Das Industrias I,Gonçalves das Pedras,Amapá,+55 (13) 97982-3804,tpimenta@example.com,Ruim,Email,8,Costureira,8,2982
816.940.257-30,Ana Julia da Cruz,2001-12-26,Campo Yago Carvalho,Biquinhas,Porto,Maranhão,+55 96 98376-8725,ana35@example.org,Ótimo,Chat,5,Compositor,1,9683
786.109.354-93,Dr. Miguel Siqueira,1959-08-06,"Trevo Heitor Guerra, 73",Xangri-Lá,Novais de Goiás,Alagoas,+55 35 99697-7550,franciscoandrade@example.com,Regular,Call,12,Cozinheira,1,2431
219.534.768-64,Aurora da Rosa,1987-08-29,"Colônia Gabriela Borges, 74",Vitoria Da Conquista,Peixoto do Sul,Tocantins,+55 (064) 90183 0484,jesusisaque@example.com,Bom,Call,4,Controlador de vôo,5,5850
073.419.568-01,Sr. Théo Nunes,1988-03-24,"Jardim de Fernandes, 25",Jardim Vitoria,Aragão,Pernambuco,+55 59 9 8703 6110,zpires@example.net,Péssimo,Email,8,Manobrista,4,3729
251.763.490-43,Valentina Camargo,1951-06-17,"Passarela de da Rosa, 298",Varzea Da Palma,Novais,Piauí,+55 85 93859-7467,ramosana-julia@example.com,Péssimo,Email,4,Contábil,6,7996
284.716.350-62,Miguel Souza,1970-01-29,"Avenida Lara Castro, 9",Carlos Prates,Pastor,Maranhão,+55 (43) 94344 3233,umoura@example.org,Ruim,Call,8,Guarda roupeiro,4,3810
564.201.893-06,Aylla Rocha,1994-12-06,"Jardim de Barbosa, 20",Vila Puc,Cirino da Serra,Goiás,+55 (18) 99714 4174,isabella98@example.com,Ótimo,Call,4,Tosador,2,6853
396.174.580-39,Gabriel Cassiano,1998-05-13,"Condomínio Dante Sales, 3",Belvedere,da Cunha,Rondônia,+55 (52) 93703 0455,igorporto@example.com,Regular,Chat,5,Químico farmacêutico,10,1846
853.641.092-24,Srta. Maria Liz Araújo,1998-09-30,"Morro Marina Monteiro, 92",Heliopolis,da Rosa,Rio de Janeiro,+55 41 91150 1465,vitor-hugoribeiro@example.com,Regular,Chat,10,Frentista,2,3258
460.713.958-01,Otávio da Luz,2005-10-22,"Via Castro, 83",Vila Santo Antônio,Pacheco,Rio Grande do Norte,+55 68 9 7929-3673,wda-rocha@example.org,Regular,Email,2,Penhorista,5,7087
807.491.523-97,Larissa Vargas,1987-08-12,"Parque de Costela, 30",Vila Formosa,Teixeira,Goiás,+55 14 97170 5530,ida-costa@example.com,Ruim,Email,7,Fresador,8,1706
143.759.806-48,Dra. Evelyn da Rosa,1951-07-11,"Via de Santos, 44",Santa Efigênia,Abreu,Paraná,+55 (47) 99725-2132,antonellada-mata@example.org,Ruim,Email,5,Assistente administrativo,1,8649
708.519.364-66,Oliver Sampaio,1973-12-06,"Área Alícia Casa Grande, 9",Conjunto Paulo Vi,Sampaio,Bahia,+55 (010) 92809-9635,ana-laurada-costa@example.com,Ótimo,Chat,12,Governador,7,5610
728.351.046-07,Lívia Vasconcelos,1988-08-13,Conjunto de Fonseca,Providencia,da Cunha,Goiás,+55 92 9 9895-5666,vinicius45@example.com,Péssimo,Email,5,Profissional de reciclagem,8,3686
602.731.598-95,João Gonçalves,1986-04-20,"Quadra de Macedo, 96",Mariquinhas,Dias,Roraima,+55 (64) 94449 5986,cassianovitor-hugo@example.net,Péssimo,Call,8,Artesão,9,8457
517.248.906-11,Lucca Caldeira,1972-01-02,"Viela de Sousa, 8",Vila Olhos D'água,Ferreira de Macedo,Mato Grosso,+55 (026) 97246 3827,davi-miguel98@example.net,Ruim,Email,9,Técnico em segurança do trabalho,8,9751
364.598.720-74,Bruna das Neves,1948-05-20,"Via de Azevedo, 14",Providencia,Teixeira,São Paulo,+55 (006) 94069 4608,felipe23@example.org,Regular,Call,8,Selecionador de pessoal,1,3980
694.810.325-15,Daniela Vargas,1990-01-04,"Parque Paulo Aragão, 75",Lorena,da Rocha,Sergipe,+55 (25) 93438-2094,lopesjose-pedro@example.com,Bom,Email,8,Engenheiro metalúrgico,1,3493
159.827.604-20,Maria Sophia Pimenta,1960-08-26,Viela Bella Garcia,Santa Branca,Marques Grande,Rio Grande do Norte,+55 46 94051 5262,vitoriacosta@example.org,Regular,Email,1,Obstetra,3,6716
156.703.942-16,Apollo Cavalcanti,1960-09-18,Praia de Cassiano,Tiradentes,Moura,Alagoas,+55 (077) 93254-6196,kaiqueda-paz@example.net,Regular,Call,5,Infectologista,10,6539
519.402.386-33,Srta. Natália Azevedo,1990-09-28,"Campo Brito, 7",Vila Nossa Senhora Do Rosário,da Costa das Flores,Mato Grosso,+55 (02) 96164-4874,ana-vitoriaandrade@example.org,Regular,Call,8,Engenheiro sanitarista,7,4023
180.946.275-49,Heloisa Siqueira,1998-04-24,"Passarela de Pimenta, 84",Jardim Vitoria,Borges,Roraima,+55 74 90767 6220,viniciusdas-neves@example.com,Regular,Call,9,Comissário de bordo,2,9182
658.927.310-30,Rhavi Araújo,1946-04-15,"Parque Castro, 89",Túnel De Ibirité,Ramos,São Paulo,+55 49 9 2806-7809,mariacunha@example.net,Ótimo,Call,9,Lutador de karatê,1,2551
075.428.319-41,Bella Lima,1982-07-03,"Esplanada Fernanda Garcia, 55",Acaiaca,Brito,Goiás,+55 (46) 9 8770-4821,gabriellymelo@example.net,Regular,Chat,12,Naturólogo,7,5211
175.426.390-99,Renan Leão,1958-04-20,"Recanto Gustavo Teixeira, 57",Bom Jesus,Barbosa,Minas Gerais,+55 92 9 2982-1926,mouranoah@example.com,Péssimo,Call,5,Baterista,7,8200
476.928.301-69,Sra. Isabella Cassiano,1949-03-31,"Alameda Castro, 787",Fernão Dias,Machado,Amapá,+55 (024) 92803 9501,sfernandes@example.com,Ruim,Email,2,Engenheiro ambiental,6,6509
309.486.251-98,Erick Pimenta,1984-10-06,"Fazenda de Duarte, 6",Vila Mangueiras,Alves Verde,Pará,+55 (48) 90857 1670,castroenzo@example.net,Péssimo,Chat,2,Roteirista,7,9448
784.321.956-00,Cecília Pimenta,1988-11-03,Lago Melo,Paulo Vi,Pimenta,Acre,+55 73 99101-6351,rhaviguerra@example.net,Ruim,Call,1,Técnico em rede,10,8583
709.512.436-16,Murilo Costela,1945-04-29,"Via de Nunes, 47",Alto Barroca,Brito Alegre,Rio Grande do Norte,+55 (27) 9 0137 6172,pachecoalexia@example.com,Bom,Email,7,Trompetista,7,5496
037.254.986-10,Arthur Gabriel Vieira,1969-10-16,"Trecho de Rodrigues, 31",Vila Pinho,Leão,Pernambuco,+55 (036) 98621 2745,lduarte@example.net,Péssimo,Call,2,Vendedor,8,8791
456.273.018-80,Srta. Heloísa da Rosa,1986-11-05,Área Julia Garcia,Vila Santa Monica 2ª Seção,Cavalcanti,Roraima,+55 (22) 9 6378-5993,machadoluiz-fernando@example.org,Ótimo,Email,3,Clínico geral,9,5726
791.238.645-91,Lavínia Cardoso,1962-02-24,"Chácara Enzo Gabriel Fonseca, 26",Zilah Sposito,Viana,Rio de Janeiro,+55 89 9 9685 9761,gduarte@example.org,Péssimo,Chat,9,Bedel,8,9481
037.641.289-50,Maria Flor Cirino,2005-10-07,"Trecho Kaique Rocha, 86",Granja De Freitas,Cavalcante,Amazonas,+55 73 9 2777-4025,juancostela@example.net,Regular,Email,2,Aeromoça,7,7880
591.623.804-51,Danilo Monteiro,1945-04-16,"Vereda de Rodrigues, 63",Nova America,Cirino,Goiás,+55 96 99512-4526,gabrielnovaes@example.net,Ótimo,Call,3,Nutrologista,4,4829
624.397.158-91,Maria Júlia Monteiro,1999-02-10,"Largo Theo Peixoto, 90",Flamengo,Farias,Tocantins,+55 (49) 90205 7042,riosmaria-luisa@example.org,Ruim,Chat,2,Escriturário,10,6796
675.341.928-46,Benjamim Souza,1957-06-21,"Área Mendonça, 47",Vila Bandeirantes,Vieira Verde,Rio Grande do Norte,+55 35 9 7559-5198,lrodrigues@example.com,Ótimo,Chat,12,Desembargador de justiça,6,4132
513.276.489-46,Brayan Pimenta,1975-12-06,"Vereda de Viana, 25",Nazare,Novais do Norte,Ceará,+55 (89) 9 6489 8607,luiz-felipebarros@example.com,Péssimo,Email,12,Estivador,6,4967
539.061.872-68,Sr. Augusto Sá,1965-11-08,"Área da Mata, 330",Nova Suíça,Gonçalves de Rodrigues,Roraima,+55 (56) 9 1415 6115,caueda-paz@example.org,Regular,Call,4,Locutor,4,9945
602.397.841-03,Cecilia Guerra,1952-09-23,"Ladeira de Cunha, 68",Estrela,da Rosa,Sergipe,+55 (024) 93127 0621,apollo03@example.org,Regular,Chat,12,Modelista,7,8013
184.265.903-06,Mateus Rios,1957-10-17,"Rodovia Davi Lucas da Cunha, 70",São Gabriel,Barros,Roraima,+55 (017) 97808-8408,bmendonca@example.net,Ruim,Chat,10,Engenheiro de petróleo,5,3540
273.645.108-26,Davi Miguel Melo,2003-09-02,"Vereda Peixoto, 773",Santana Do Cafezal,Castro de Minas,Rondônia,+55 (089) 92689 7179,saragao@example.net,Bom,Call,10,Babysitter,4,1586
045.617.398-66,Melissa Ribeiro,1956-08-21,"Parque Silva, 97",Tupi B,Fonseca da Praia,Roraima,+55 84 98775 7456,maria-clarafogaca@example.com,Ótimo,Email,8,Eletricista,1,9768
027.614.598-49,Maysa Montenegro,2001-06-20,"Estação Davi Miguel Lima, 38",Vila Formosa,Carvalho do Sul,Alagoas,+55 59 99404 4028,maria-luiza26@example.net,Ruim,Email,1,Lixeiro/Coletor de lixo,5,9493
591.803.627-02,Dr. João Pedro Castro,2000-10-23,"Vila Ísis Silveira, 880",Distrito Industrial Do Jatoba,Montenegro,Mato Grosso,+55 (54) 91386 6128,cavalcanteliz@example.org,Ótimo,Chat,3,Regente,3,4564
736.052.149-16,Paulo Novaes,1945-06-01,"Vereda de Marques, 6",Vila Vista Alegre,Peixoto das Flores,Rio de Janeiro,+55 (011) 95524-8516,hcarvalho@example.com,Regular,Call,9,Saxofonista,5,6509
142.786.093-96,Lorenzo Alves,1960-01-10,"Praia Rebeca Araújo, 566",Itatiaia,Câmara,Sergipe,+55 (083) 98645-6603,nunesleonardo@example.com,Péssimo,Chat,1,Flanelinha,2,6172
123.487.596-91,Liam Correia,2002-08-14,"Conjunto de Silva, 65",Beira Linha,Fogaça de Lopes,Santa Catarina,+55 (58) 9 2591-6212,pintoana-cecilia@example.net,Bom,Chat,6,Cabo,4,1648
732.051.986-03,Ana Vitória Ramos,1995-05-13,"Parque da Mota, 14",Vila Canto Do Sabiá,Carvalho,Rondônia,+55 (05) 91480 6224,mendesluiz-henrique@example.net,Ótimo,Email,8,Cameraman,3,3713
793.865.102-86,Larissa Cavalcanti,1985-01-29,Vila Novais,Novo Aarão Reis,da Mata de Minas,Distrito Federal,+55 (96) 9 7513-6566,caua41@example.com,Bom,Email,12,Operador de telemarketing,3,1513
014.652.398-98,Miguel Gonçalves,1972-03-10,"Chácara Ester da Mota, 59",Vila Cloris,Pires,Piauí,+55 38 94122-8222,osales@example.net,Ruim,Email,6,Anestesiologista,3,9081
420.751.398-14,Clarice Dias,1996-10-22,"Parque Pastor, 5",Novo São Lucas,Azevedo,Ceará,+55 (89) 92691 2644,costaisabella@example.org,Ótimo,Call,10,Clínico geral,5,5379
970.562.341-43,Valentina Câmara,1977-02-25,"Estrada de Rios, 82",Itaipu,Leão do Oeste,Amazonas,+55 00 9 9335 0489,dante74@example.org,Regular,Call,4,Personal stylist,5,9940
578.649.321-00,Luiz Otávio Cirino,1978-07-27,"Praia Lopes, 88",Monte São José,Sá dos Dourados,Minas Gerais,+55 (90) 9 5133-3091,leaoluiz-miguel@example.net,Bom,Call,8,Repórter,1,8733
987.165.204-67,João Lucas Moura,1975-05-09,"Largo Sarah Souza, 93",Madre Gertrudes,Nogueira,Rondônia,+55 79 9 0338-2280,ramosisaque@example.net,Ótimo,Chat,7,Técnico em taquigrafia,9,2667
310.925.468-98,Amanda Pereira,1949-05-09,"Praia Guerra, 81",Ernesto Nascimento,Vargas Grande,Mato Grosso do Sul,+55 (19) 9 0124 9867,camararyan@example.org,Regular,Email,7,Técnico em higiene dentária,4,6779
864.179.205-85,Milena Teixeira,1993-04-05,"Ladeira Cassiano, 19",Vila Atila De Paiva,Câmara Paulista,Sergipe,+55 70 9 5927 5017,costaalexia@example.com,Ruim,Chat,12,Capoeirista,8,9501
328.569.174-37,Benicio Vasconcelos,1953-10-01,"Favela de Sampaio, 39",Prado,Santos de Cavalcante,Pará,+55 (35) 9 8449-9462,abreuana-cecilia@example.org,Bom,Chat,3,Faxineiro,6,6990
348.921.706-31,Beatriz Pinto,1951-08-21,"Largo de Pires, 80",Monte Azul,Souza de Minas,Amazonas,+55 02 9 4547 1663,emanuellacassiano@example.org,Regular,Chat,10,Policial militar,3,7166
730.658.294-10,Sra. Raquel Castro,1976-07-12,"Aeroporto das Neves, 1",Ouro Minas,Viana da Serra,Santa Catarina,+55 90 9 0892 9112,rpinto@example.net,Ruim,Call,8,Serventuário,5,8168
180.264.953-06,Aurora Montenegro,1995-11-22,"Esplanada Alice Dias, 66",Vila Maria,Guerra do Oeste,Roraima,+55 62 9 0730-9732,thales57@example.org,Bom,Call,1,Vendedor,7,1626
905.614.237-25,Sr. Antony Nascimento,1959-10-20,"Largo Maria Helena Novais, 31",Tirol,Sampaio de Cirino,Rio de Janeiro,+55 (11) 9 3093 4564,hellenabrito@example.org,Bom,Chat,7,Tecnólogo em irrigação e drenagem,5,9053
689.517.204-11,Benjamim Viana,1956-06-05,"Setor Rios, 354",Vila Coqueiral,Siqueira do Sul,Mato Grosso do Sul,+55 81 9 9555-6351,jferreira@example.com,Regular,Call,2,Odontologista legal,1,6279
317.249.685-64,Ian Garcia,2006-12-29,"Fazenda Vitória Leão, 472",Gameleira,Macedo de Mendes,Maranhão,+55 82 96746-8415,da-motaemanuella@example.net,Regular,Call,11,Diarista,9,1717
483.201.765-90,Léo Nunes,2002-05-10,"Setor Pimenta, 78",Aparecida 7ª Seção,da Cunha,Bahia,+55 88 9 4327 7772,lpereira@example.net,Regular,Email,2,Produtor de multimídia,9,3084
164.035.982-60,Clara da Luz,1951-09-01,Jardim de Barbosa,São Damião,Andrade,Mato Grosso do Sul,+55 (56) 90008-9359,marianesampaio@example.net,Ruim,Email,10,Tradutor,6,5884
594.608.213-24,Anthony Gabriel Vargas,1958-06-02,"Viela Davi Miguel Rocha, 94",Aeroporto,Nascimento,Espírito Santo,+55 (83) 97603 0006,bryan65@example.net,Ruim,Call,9,Profissional de efeitos especiais,8,5559
